"fips","trump","covid","pop","urban","poverty","seniors","income"
47111,1,5.75314238615289,24265,1,18.1,15.7181125077272,42265
47113,1,4.10634701091133,97605,1,17.8,17.0226935095538,46651
47115,1,2.99212598425197,28575,1,15.3,20.076990376203,50819
47117,1,3.69919543983612,33683,0,14.1,16.1208918445507,51868
47119,1,4.06190375238499,94340,1,10.8,15.9147763408946,57337
47121,1,2.86851942142045,12306,0,17.8,21.2254184950431,50565
47123,1,3.3716590806135,46357,0,15.7,21.1791099510322,45566
47125,1,2.20150521971352,205950,1,12,9.22796795338674,56102
47127,1,4.52347527686788,6411,0,9.1,21.5099048510373,58234
47129,1,2.15950692803188,21579,1,20.4,17.7765420084341,40397
47131,1,6.32371890177421,30267,0,17.7,20.4149734033766,42532
47133,1,5.86822548486496,22068,0,15,20.5773065071597,42149
47135,1,4.53869047619048,8064,0,17.6,21.1433531746032,41960
47137,1,5.76544667453758,5082,0,16,27.5875639512003,40182
47139,1,3.26665877618653,16898,1,15.8,20.9728962007338,41968
47141,1,5.9485306241518,78843,0,14.5,16.6584224344584,45512
47143,1,3.59218012347173,33044,0,18.4,18.6085219707057,44132
47145,1,2.88859616108393,53140,1,14.8,22.7850959729018,54440
47147,1,3.84582887399313,71012,1,10.6,14.8143975666085,66006
47149,1,3.94656653021022,324890,1,10.4,10.454615408292,64170
47151,1,2.03729751803621,22039,0,21.2,16.8065701710604,35685
47153,1,2.56789459532132,14876,1,16,20.3549341220758,49707
47155,1,3.67854370122175,97892,0,13.9,19.7574878437462,47202
47157,0,4.09846927216691,935764,1,21.7,13.5823776080294,47924
47159,1,5.31040016046535,19942,1,13.9,16.9742252532344,50704
47161,1,2.72841235897058,13561,0,13.9,20.3377332055158,46565
47163,1,2.69046350559403,157668,1,16.5,21.8998148007205,46024
47165,1,3.54744080919481,187149,1,8.9,15.8504720837408,66171
47167,1,4.1668696513535,61581,1,12,14.4590052126468,60874
47169,1,16.4275335997094,11012,1,18.6,12.9495096258627,49280
47171,1,2.9559146444457,17761,1,16.1,23.2137830077135,43688
47173,1,2.8850060950833,19688,1,19.8,18.300487606664,40322
47175,1,3.81613183000867,5765,0,16.3,23.6773633998265,38265
47177,1,3.84314301091051,40878,0,22.5,17.6867752825481,42475
47179,1,3.16390243143841,128607,1,14.9,18.3224863343364,49242
47181,1,9.83210532673028,16558,0,21.3,19.4951081048436,38879
47183,1,4.94987281161155,33415,0,19.7,18.6383360766123,42351
47185,1,4.78843103257461,27107,0,17.3,20.2678274984321,42603
47187,1,3.32155233052402,231729,1,3.8,13.1532954442474,115930
47189,1,3.63662222222222,140625,1,7.8,15.6906666666667,76507
48001,1,5.14494376216477,58057,0,19.8,14.797526568717,45969
48003,1,3.67939099735216,18128,0,10.7,10.3596646072374,84946
48005,1,3.40559408441648,87092,0,17.9,16.3252652367611,46653
48007,1,1.47528581035642,23792,1,19.9,29.6276059179556,46912
48009,1,1.93489642613248,8786,1,10.6,20.0091053949465,61190
48011,1,1.47991543340381,1892,1,10.7,23.9429175475687,57210
48013,1,2.56609024050885,50310,1,15.7,14.6789902603856,50594
48015,1,1.74063823401914,29989,1,10.2,19.0036346660442,59942
48017,1,4.46847872491817,7027,0,15.8,14.5865945638252,45051
48019,1,0.841219768664564,22824,1,13.4,26.9759901857694,53008
48021,1,2.3385761589404,86976,1,12.6,15.1892476085357,61883
48023,1,1.28419877163596,3582,0,16.1,23.8135120044668,41180
48025,1,5.75075950532421,32587,0,26.7,12.3116580231381,41806
48027,1,1.86901434588716,355642,1,13,10.8493934912075,54292
48029,0,3.35042086071391,1986049,1,17.2,12.1155621034526,54210
48031,1,1.39292428644676,11702,0,10.1,24.2779012134678,64832
48033,1,0.462962962962963,648,0,10,24.6913580246914,66101
48035,1,2.25242095125996,18691,0,14.9,24.6482264191322,48460
48037,1,2.19244306857216,94324,1,19.1,16.5440396929732,47339
48039,1,3.42706645056726,370200,1,10.1,11.7984873041599,74225
48041,1,3.97295795517688,226758,1,23.2,9.156016546274,50113
48043,1,2.91356426027841,9267,0,16,23.1358584223589,45670
48045,1,1.6490765171504,1516,0,16.2,26.1873350923483,44409
48047,0,5.14478493112173,7114,0,31,18.3159966263705,30116
48049,1,2.91372218120451,37924,0,13.2,19.924058643603,47097
48051,1,2.64832236663223,18389,1,14.8,20.4198161944641,53626
48053,1,2.30743342728535,47542,0,11,22.3486601320937,56696
48055,1,3.99796517677527,43247,1,14.1,14.3593775290772,52588
48057,1,4.33653355595752,21561,0,14.2,17.9490747182413,52085
48059,1,1.04330427325997,13994,1,12,20.5016435615264,50330
48061,0,5.75124791228285,423908,1,27.9,13.5442124234504,38106
48063,1,3.13051484692703,13033,0,18.8,18.5222128443183,43714
48065,1,0.949208992506245,6005,1,8.9,19.533721898418,64799
48067,1,1.88253262060493,30119,0,20.4,22.1122879245659,44154
48069,1,4.21395955642531,7665,0,17.5,15.812133072407,45689
48071,1,3.81118386960004,42454,1,8.5,11.8010081499976,89513
48073,1,3.15637359294189,52592,0,17.4,17.5520991785823,43483
48075,1,1.78302016184337,7291,0,21.2,15.4025510903854,42291
48077,1,1.28156082631982,10456,1,10.9,22.7142310635042,58356
48079,1,4.1607898448519,2836,0,21.9,16.3258110014104,42873
48081,1,3.82789317507418,3370,0,14.1,27.2700296735905,44804
48083,1,1.16708348219602,8397,0,19.3,24.9612957008455,39484
48085,1,1.88082129362302,1005146,1,6.4,11.008848465795,96936
48087,1,0.708980418636057,2962,0,17.3,18.8723835246455,39536
48089,1,2.4037328557289,21217,0,13.7,22.1426214827732,48258
48091,1,2.57796229772263,148373,1,7.1,18.0821308459086,76523
48093,1,2.81513225949461,13534,0,16.4,24.3017585340624,52251
48095,1,3.36763330215154,4276,0,26.6,17.6800748362956,40987
48097,1,1.44673929117169,40574,0,14.8,18.5340365751466,52047
48099,1,2.71227676184365,74808,1,15,10.2515773714041,48099
48101,1,3.02375809935205,1389,0,21.2,24.3340532757379,38304
48103,1,1.6270337922403,4794,0,10.1,11.9315811430955,61987
48105,1,4.74421263218062,3499,0,15.3,17.7193483852529,49117
48107,1,2.21491607544558,5779,1,23.7,18.7056584184115,37911
48109,0,5.76225045372051,2204,0,20.3,21.4609800362976,42164
48111,1,5.48611111111111,7200,0,12.1,11.4444444444444,50587
48113,0,4.0044401108208,2637772,1,14.2,10.7345896461104,59838
48115,1,7.35399001505666,12619,0,22.9,14.929867659878,43726
48117,1,7.45735607675906,18760,0,17.5,12.6705756929638,44230
48119,1,0.710413161338568,5349,0,17.2,20.8263226771359,44410
48121,1,2.02953447007441,859064,1,7.3,10.1754933276217,88384
48123,1,5.46391241888344,20187,0,18.4,19.9286669638877,49208
48125,1,2.5789239662072,2249,0,20.3,22.8101378390396,39627
48127,0,2.88125727590221,10308,0,24.6,16.7733798991075,37177
48129,1,2.65140102440494,3319,0,18.6,23.9831274480265,40945
48131,0,4.48626471637531,11212,0,25.5,17.9361398501605,35156
48133,1,1.49001200742277,18322,0,18.7,21.8480515227595,44773
48135,1,4.28992622930596,162124,1,12.9,9.72095433125262,60431
48137,1,3.7344398340249,1928,0,22.1,29.097510373444,37812
48139,1,2.85895806861499,179436,1,8.8,12.8073519249203,76792
48141,0,6.28206927558227,840758,1,20.5,12.261792335012,43948
48143,1,2.56796871318852,42446,0,18.1,14.170946614522,47087
48145,1,4.03230458609749,17335,1,21.7,18.154023651572,37428
48147,1,2.30969789718302,35286,0,13.8,18.5115909992632,53111
48149,1,2.11842676239694,25349,0,13.3,25.3698370744408,55776
48151,1,3.23000781453504,3839,0,15.5,24.5636884605366,45261
48153,1,2.32996402261436,5837,0,21,18.7082405345212,39891
48155,1,1.83333333333333,1200,0,18,26.3333333333333,37648
48157,0,2.35042355348299,787858,1,7.9,11.0588456295424,92310
48159,1,2.09920118892811,10766,0,15.2,21.8465539661899,48222
48161,1,2.35763327948304,19808,0,13.7,19.8808562197092,49317
